id,sequence,task,choices,response,response_type,domain,task_original,choices_original
BGKFRK,1,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
BGKFRK,2,or;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that  {IA}   OR it is possible that {IB}, OR BOTH",It is possible that:  {IA}   AND {IB}  
BGKFRK,4,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that  {IA}   OR it is impossible that {IB}, OR BOTH","It is impossible that:  {IA}   OR {IB}, OR BOTH "
BGKFRK,6,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
BGKFRK,7,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that {A} OR it is impossible that {B}, OR BOTH","It is impossible that: {A} OR {B}, OR BOTH "
NVBZYF,3,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that  {IA}   AND it is possible that {IB}  ,It is possible that:  {IA}   AND {IB}  
ITBVRE,1,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that {A} OR it is impossible that {B}, OR BOTH","It is impossible that: {A} OR {B}, OR BOTH "
NVBZYF,5,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that {A} OR it is impossible that {B}, OR BOTH","It is impossible that: {A} OR {B}, OR BOTH "
XCUEUR,0,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
SQHMAN,0,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
ITBVRE,2,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that  {IA}   AND it is possible that {IB}  ,It is possible that:  {IA}   AND {IB}  
NVBZYF,10,or;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}  , OR BOTH",It is possible that: {A} AND {B}  
XCUEUR,2,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that {A} OR it is impossible that {B}, OR BOTH","It is impossible that: {A} OR {B}, OR BOTH "
NVBZYF,13,or;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that  {IA}   OR it is possible that {IB}, OR BOTH",It is possible that:  {IA}   AND {IB}  
ITBVRE,3,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that  {IA}   OR it is impossible that {B}, OR BOTH","It is impossible that:  {IA}   OR {IB}, OR BOTH "
ELSFXS,1,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
XCUEUR,4,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
ELSFXS,2,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
XCUEUR,6,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
SQHMAN,4,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that  {IA}   OR it is impossible that {B}, OR BOTH","It is impossible that:  {IA}   OR {IB}, OR BOTH "
ITBVRE,5,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that  {IA}   AND it is possible that {IB}  ,It is possible that:  {IA}   AND {IB}  
ENYFOZ,0,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
XCUEUR,7,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that  {IA}   OR it is impossible that {B}, OR BOTH","It is impossible that:  {IA}   OR {IB}, OR BOTH "
SQHMAN,5,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that {A} OR it is impossible that {B}, OR BOTH","It is impossible that: {A} OR {B}, OR BOTH "
BQCPBP,1,or;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}  , OR BOTH",It is possible that: {A} AND {B}  
SEGQEW,3,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
SQHMAN,6,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
CTMWZM,2,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that  {IA}   AND it is possible that {IB}  ,It is possible that:  {IA}   AND {IB}  
ITBVRE,7,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that  {IA}   OR it is impossible that {IB}, OR BOTH","It is impossible that:  {IA}   OR {IB}, OR BOTH "
ENYFOZ,0,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
