id,sequence,task,choices,response,response_type,domain,task_original,choices_original
LOGVWD,0,possible;A,A,True,verify,modal,It is possible that it will {A},It will {A}
LOGVWD,1,possible;not;A,not;A,True,verify,modal,It is possible that it will {notA},It will {notA}
LOGVWD,2,possible;A,possible;not;A,True,verify,modal,It is possible that it will {A},It is possible that it will {notA}
LOGVWD,3,possible;not;A,possible;A,True,verify,modal,It is possible that it will {notA},It is possible that it will {A}
PLFJGC,0,possible;A,A,True,verify,modal,It is possible that it will {A},It will {A}
PLFJGC,1,possible;A,possible;not;A,True,verify,modal,It is possible that it will {A},It is possible that it will {notA}
PLFJGC,2,possible;not;A,not;A,True,verify,modal,It is possible that it will {notA},It will {notA}
PLFJGC,3,possible;not;A,possible;A,True,verify,modal,It is possible that it will {notA},It is possible that it will {A}
JFTJPY,0,possible;not;A,possible;A,True,verify,modal,It is possible that it will {notA},It is possible that it will {A}
JFTJPY,1,possible;A,A,True,verify,modal,It is possible that it will {A},It will {A}
JFTJPY,2,possible;A,possible;not;A,True,verify,modal,It is possible that it will {A},It is possible that it will {notA}
JFTJPY,3,possible;not;A,not;A,True,verify,modal,It is possible that it will {notA},It will {notA}
JFTJPY,0,possible;not;A,not;A,False,verify,modal,It is possible that it will {notA},It will {notA}
JFTJPY,0,possible;A,possible;not;A,True,verify,modal,It is possible that it will {A},It is possible that it will {notA}
JFTJPY,1,possible;A,A,True,verify,modal,It is possible that it will {A},It will {A}
JFTJPY,2,possible;not;A,not;A,True,verify,modal,It is possible that it will {notA},It will {notA}
JFTJPY,3,possible;not;A,possible;A,True,verify,modal,It is possible that it will {notA},It is possible that it will {A}
NABASM,0,possible;A,A,False,verify,modal,It is possible that it will {A},It will {A}
NABASM,1,possible;A,possible;not;A,True,verify,modal,It is possible that it will {A},It is possible that it will {notA}
JFWNYR,0,possible;not;A,not;A,True,verify,modal,It is possible that it will {notA},It will {notA}
NABASM,2,possible;not;A,possible;A,True,verify,modal,It is possible that it will {notA},It is possible that it will {A}
JFWNYR,1,possible;A,possible;not;A,True,verify,modal,It is possible that it will {A},It is possible that it will {notA}
NABASM,3,possible;not;A,not;A,False,verify,modal,It is possible that it will {notA},It will {notA}
JFWNYR,2,possible;A,A,True,verify,modal,It is possible that it will {A},It will {A}
JFWNYR,3,possible;not;A,possible;A,False,verify,modal,It is possible that it will {notA},It is possible that it will {A}
IJSYLX,0,possible;A,A,False,verify,modal,It is possible that it will {A},It will {A}
IJSYLX,1,possible;not;A,not;A,True,verify,modal,It is possible that it will {notA},It will {notA}
IJSYLX,2,possible;not;A,possible;A,True,verify,modal,It is possible that it will {notA},It is possible that it will {A}
IJSYLX,3,possible;A,possible;not;A,False,verify,modal,It is possible that it will {A},It is possible that it will {notA}
GVIFKK,1,possible;A,possible;not;A,True,verify,modal,It is possible that it will {A},It is possible that it will {notA}
GVIFKK,3,possible;not;A,possible;A,True,verify,modal,It is possible that it will {notA},It is possible that it will {A}
BCUMDQ,0,possible;not;A,not;A,True,verify,modal,It is possible that it will {notA},It will {notA}
BCUMDQ,1,possible;A,possible;not;A,True,verify,modal,It is possible that it will {A},It is possible that it will {notA}
BCUMDQ,2,possible;A,A,True,verify,modal,It is possible that it will {A},It will {A}
BCUMDQ,3,possible;not;A,possible;A,True,verify,modal,It is possible that it will {notA},It is possible that it will {A}
NIEJMQ,0,possible;A,A,True,verify,modal,It is possible that it will {A},It will {A}
NIEJMQ,1,possible;A,possible;not;A,False,verify,modal,It is possible that it will {A},It is possible that it will {notA}
NIEJMQ,2,possible;not;A,not;A,True,verify,modal,It is possible that it will {notA},It will {notA}
NIEJMQ,3,possible;not;A,possible;A,False,verify,modal,It is possible that it will {notA},It is possible that it will {A}
SFFPHF,0,possible;not;A,not;A,True,verify,modal,It is possible that it will {notA},It will {notA}
SFFPHF,1,possible;A,possible;not;A,True,verify,modal,It is possible that it will {A},It is possible that it will {notA}
SFFPHF,2,possible;not;A,possible;A,True,verify,modal,It is possible that it will {notA},It is possible that it will {A}
SFFPHF,3,possible;A,A,True,verify,modal,It is possible that it will {A},It will {A}
UNIEDG,1,possible;A,possible;not;A,True,verify,modal,It is possible that it will {A},It is possible that it will {notA}
UNIEDG,2,possible;not;A,possible;A,True,verify,modal,It is possible that it will {notA},It is possible that it will {A}
ZWXKZP,0,possible;not;A,possible;A,True,verify,modal,It is possible that it will {notA},It is possible that it will {A}
ZWXKZP,1,possible;A,possible;not;A,True,verify,modal,It is possible that it will {A},It is possible that it will {notA}
VXUJOV,1,possible;A,possible;not;A,True,verify,modal,It is possible that it will {A},It is possible that it will {notA}
