id,sequence,response_type,choices,response,task,event,codeBedingung,codeTrialtype,codeTrialno,codePrämisse,codeLOROGL,condition_code 1 Neutral 2 Räumlich 3 Visuell,trial type_1 Con_2Incon,prämissen_1 gl./ungl._2 ungl./gl.,fact_type_1 absteigend_2 aufsteigend,mögliche Antwort,corr_err,korrektes Modell_1 Ja_0 Nein,konsistenzbewertung_1 Ja_0 Nein,korrekte Konsistenzbewertung_0 Nein_1 Ja,0 korrekt konsistent_1 korrekt inkonsistent_2 falsch konsistent_3 falsch inkonsistent,revidiertes Modell_0 nicht revidiert_1 Glaubwürdig_2 Unglaubwürdig_3 falsch revidiert-gespiegeltes falsches Modell_4 falsch revidiert-richtiges Modell,revidiertes Modell_0 nicht revidiert_1 LO verschoben_2 RO verschoben_falsch revidiert gespiegeltes Modell_4falsch revidiert richtiges Modell,revidiertes Modell_0 LO=Glaubwürdig_1 LO=Unglaubwürdig_2 RO=Glaubwürdig_3 RO=Unglaubwürdig,domain,task_enc
1,1,single-choice,CAB|BAC,BAC,Right;A;B/Right;C;A,45_N_Incon_ug_aufauf_modri_factab_revgle_lori_model,N_,In,el,n_ug,evgle_lori_model,1,2,,,right,C,1,1,0,2,0,0,0,spatial-relational,45_N_Incon_ug_aufauf_modri_factab_revgle_lori_task
1,2,verify,Left;C;B,True,BAC,45_N_Incon_ug_aufauf_modri_factab_revgle_lori_fact,N_,In,ct,n_ug,revgle_lori_fact,1,2,,,left,E,1,1,0,2,0,0,0,spatial-relational,45_N_Incon_ug_aufauf_modri_factab_revgle_lori_task
1,1,single-choice,BAC|CAB,BAC,Right;A;B/Right;C;A,73_R_Con_ug_aufauf_modle_factauf_revle_model,R_,Co,el,ug_a,tauf_revle_model,2,1,,,left,C,1,1,1,0,0,0,0,spatial-relational,73_R_Con_ug_aufauf_modle_factauf_revle_task
1,2,verify,Right;C;B,True,BAC,73_R_Con_ug_aufauf_modle_factauf_revle_fact,R_,Co,ct,ug_a,ctauf_revle_fact,2,1,,,right,C,1,1,1,0,0,0,0,spatial-relational,73_R_Con_ug_aufauf_modle_factauf_revle_task
1,1,single-choice,BAC|CAB,CAB,Right;A;B/Left;A;C,98_R_Incon_gu_aufab_modle_factauf_revgri_lole_model,R_,In,el,n_gu,evgri_lole_model,2,2,,,left,E,0,1,0,2,0,0,0,spatial-relational,98_R_Incon_gu_aufab_modle_factauf_revgri_lole_task
1,2,verify,Right;B;C,True,BAC,98_R_Incon_gu_aufab_modle_factauf_revgri_lole_fact,R_,In,ct,n_gu,revgri_lole_fact,2,2,,,left,E,0,1,0,2,0,0,0,spatial-relational,98_R_Incon_gu_aufab_modle_factauf_revgri_lole_task
1,1,single-choice,ABC|CBA,ABC,Left;A;B/Right;C;B,35_N_Incon_gu_abauf_modle_factauf_revgle_lori_model,N_,In,el,n_gu,evgle_lori_model,1,2,,,left,C,1,0,1,1,1,2,3,spatial-relational,35_N_Incon_gu_abauf_modle_factauf_revgle_lori_task
1,2,verify,Right;A;C,False,ABC,35_N_Incon_gu_abauf_modle_factauf_revgle_lori_fact,N_,In,ct,n_gu,revgle_lori_fact,1,2,,,left,C,1,0,1,1,1,2,3,spatial-relational,35_N_Incon_gu_abauf_modle_factauf_revgle_lori_task
1,3,single-choice,CAB|BCA,CAB,ABC/Right;A;C,35_N_Incon_gu_abauf_modle_factauf_revgle_lori_revmodel,N_,In,el,n_gu,le_lori_revmodel,1,2,,,left,C,1,0,1,1,1,2,3,spatial-relational,35_N_Incon_gu_abauf_modle_factauf_revgle_lori_task
1,1,single-choice,CBA|ABC,ABC,Left;A;B/Left;B;C,184_V_Incon_gu_abab_modri_factauf_revgri_lole_model,_V,_I,el,on_g,evgri_lole_model,3,2,,,right,C,1,0,1,1,2,1,2,spatial-relational,184_V_Incon_gu_abab_modri_factauf_revgri_lole_task
1,2,verify,Right;A;C,False,ABC,184_V_Incon_gu_abab_modri_factauf_revgri_lole_fact,_V,_I,ct,on_g,revgri_lole_fact,3,2,,,left,C,1,0,1,1,2,1,2,spatial-relational,184_V_Incon_gu_abab_modri_factauf_revgri_lole_task
1,3,single-choice,BCA|CAB,BCA,ABC/Right;A;C,184_V_Incon_gu_abab_modri_factauf_revgri_lole_revmodel,_V,_I,el,on_g,ri_lole_revmodel,3,2,,,right,E,1,0,1,1,2,1,2,spatial-relational,184_V_Incon_gu_abab_modri_factauf_revgri_lole_task
1,1,single-choice,ABC|CBA,ABC,Left;A;B/Right;C;B,163_V_Incon_gu_abauf_modle_factauf_revgle_lori_model,_V,_I,el,on_g,evgle_lori_model,3,2,,,left,C,1,0,1,1,2,1,2,spatial-relational,163_V_Incon_gu_abauf_modle_factauf_revgle_lori_task
1,2,verify,Right;A;C,False,ABC,163_V_Incon_gu_abauf_modle_factauf_revgle_lori_fact,_V,_I,ct,on_g,revgle_lori_fact,3,2,,,left,C,1,0,1,1,2,1,2,spatial-relational,163_V_Incon_gu_abauf_modle_factauf_revgle_lori_task
1,3,single-choice,CAB|BCA,BCA,ABC/Right;A;C,163_V_Incon_gu_abauf_modle_factauf_revgle_lori_revmodel,_V,_I,el,on_g,le_lori_revmodel,3,2,,,left,E,1,0,1,1,2,1,2,spatial-relational,163_V_Incon_gu_abauf_modle_factauf_revgle_lori_task
1,1,single-choice,CAB|BAC,BAC,Right;A;B/Left;A;C,182_V_Incon_gu_aufab_modri_factauf_revgle_lori_model,_V,_I,el,on_g,evgle_lori_model,3,2,,,right,C,1,0,1,1,2,1,2,spatial-relational,182_V_Incon_gu_aufab_modri_factauf_revgle_lori_task
1,2,verify,Right;B;C,False,BAC,182_V_Incon_gu_aufab_modri_factauf_revgle_lori_fact,_V,_I,ct,on_g,revgle_lori_fact,3,2,,,left,C,1,0,1,1,2,1,2,spatial-relational,182_V_Incon_gu_aufab_modri_factauf_revgle_lori_task
1,3,single-choice,CBA|ACB,ACB,BAC/Right;B;C,182_V_Incon_gu_aufab_modri_factauf_revgle_lori_revmodel,_V,_I,el,on_g,le_lori_revmodel,3,2,,,left,E,1,0,1,1,2,1,2,spatial-relational,182_V_Incon_gu_aufab_modri_factauf_revgle_lori_task
1,1,single-choice,CAB|BAC,BAC,Right;A;B/Right;C;A,29_N_Con_ug_aufauf_modri_factauf_revri_model,N_,Co,el,ug_a,tauf_revri_model,1,1,,,right,C,1,1,1,0,0,0,0,spatial-relational,29_N_Con_ug_aufauf_modri_factauf_revri_task
